#    L    TT             EE             BB             TE             PP             TP             EP          
   131    0.37397E+04    0.11035E+01    0.00000E+00   -0.41526E+02    0.86676E-07    0.27057E-03   -0.13503E-05
   132    0.37744E+04    0.11076E+01    0.00000E+00   -0.41948E+02    0.86159E-07    0.26794E-03   -0.13433E-05
   133    0.38091E+04    0.11112E+01    0.00000E+00   -0.42356E+02    0.85646E-07    0.26534E-03   -0.13360E-05
   134    0.38437E+04    0.11144E+01    0.00000E+00   -0.42745E+02    0.85137E-07    0.26279E-03   -0.13283E-05
   135    0.38784E+04    0.11171E+01    0.00000E+00   -0.43117E+02    0.84633E-07    0.26027E-03   -0.13203E-05
   136    0.39130E+04    0.11192E+01    0.00000E+00   -0.43470E+02    0.84132E-07    0.25778E-03   -0.13120E-05
   137    0.39475E+04    0.11208E+01    0.00000E+00   -0.43806E+02    0.83635E-07    0.25533E-03   -0.13034E-05
   138    0.39820E+04    0.11220E+01    0.00000E+00   -0.44122E+02    0.83142E-07    0.25292E-03   -0.12946E-05
   139    0.40163E+04    0.11227E+01    0.00000E+00   -0.44419E+02    0.82653E-07    0.25054E-03   -0.12855E-05
   140    0.40506E+04    0.11228E+01    0.00000E+00   -0.44697E+02    0.82168E-07    0.24819E-03   -0.12761E-05
   141    0.40848E+04    0.11224E+01    0.00000E+00   -0.44954E+02    0.81687E-07    0.24588E-03   -0.12665E-05
   142    0.41189E+04    0.11216E+01    0.00000E+00   -0.45190E+02    0.81210E-07    0.24360E-03   -0.12567E-05
   143    0.41530E+04    0.11203E+01    0.00000E+00   -0.45406E+02    0.80736E-07    0.24135E-03   -0.12467E-05
   144    0.41868E+04    0.11184E+01    0.00000E+00   -0.45601E+02    0.80267E-07    0.23912E-03   -0.12365E-05
   145    0.42205E+04    0.11162E+01    0.00000E+00   -0.45773E+02    0.79801E-07    0.23693E-03   -0.12261E-05
   146    0.42543E+04    0.11134E+01    0.00000E+00   -0.45924E+02    0.79339E-07    0.23477E-03   -0.12156E-05
   147    0.42878E+04    0.11102E+01    0.00000E+00   -0.46052E+02    0.78881E-07    0.23264E-03   -0.12049E-05
   148    0.43211E+04    0.11064E+01    0.00000E+00   -0.46158E+02    0.78427E-07    0.23053E-03   -0.11941E-05
   149    0.43543E+04    0.11022E+01    0.00000E+00   -0.46240E+02    0.77976E-07    0.22845E-03   -0.11832E-05
   150    0.43872E+04    0.10976E+01    0.00000E+00   -0.46297E+02    0.77529E-07    0.22640E-03   -0.11722E-05
   151    0.44200E+04    0.10926E+01    0.00000E+00   -0.46332E+02    0.77086E-07    0.22437E-03   -0.11611E-05
   152    0.44525E+04    0.10870E+01    0.00000E+00   -0.46342E+02    0.76646E-07    0.22237E-03   -0.11499E-05
   153    0.44849E+04    0.10810E+01    0.00000E+00   -0.46326E+02    0.76210E-07    0.22039E-03   -0.11386E-05
   154    0.45170E+04    0.10747E+01    0.00000E+00   -0.46286E+02    0.75778E-07    0.21844E-03   -0.11272E-05
   155    0.45489E+04    0.10679E+01    0.00000E+00   -0.46221E+02    0.75349E-07    0.21651E-03   -0.11158E-05
   156    0.45805E+04    0.10608E+01    0.00000E+00   -0.46132E+02    0.74924E-07    0.21460E-03   -0.11042E-05
   157    0.46120E+04    0.10533E+01    0.00000E+00   -0.46015E+02    0.74503E-07    0.21272E-03   -0.10925E-05
   158    0.46431E+04    0.10455E+01    0.00000E+00   -0.45873E+02    0.74084E-07    0.21086E-03   -0.10808E-05
   159    0.46740E+04    0.10372E+01    0.00000E+00   -0.45706E+02    0.73670E-07    0.20902E-03   -0.10689E-05
   160    0.47046E+04    0.10287E+01    0.00000E+00   -0.45511E+02    0.73258E-07    0.20721E-03   -0.10570E-05
   161    0.47351E+04    0.10199E+01    0.00000E+00   -0.45291E+02    0.72851E-07    0.20541E-03   -0.10449E-05
   162    0.47652E+04    0.10107E+01    0.00000E+00   -0.45044E+02    0.72446E-07    0.20364E-03   -0.10327E-05
   163    0.47951E+04    0.10012E+01    0.00000E+00   -0.44771E+02    0.72045E-07    0.20189E-03   -0.10205E-05
   164    0.48246E+04    0.99148E+00    0.00000E+00   -0.44471E+02    0.71647E-07    0.20015E-03   -0.10081E-05
   165    0.48539E+04    0.98145E+00    0.00000E+00   -0.44144E+02    0.71253E-07    0.19844E-03   -0.99557E-06
   166    0.48830E+04    0.97127E+00    0.00000E+00   -0.43790E+02    0.70862E-07    0.19675E-03   -0.98294E-06
   167    0.49117E+04    0.96071E+00    0.00000E+00   -0.43410E+02    0.70474E-07    0.19508E-03   -0.97020E-06
   168    0.49401E+04    0.95015E+00    0.00000E+00   -0.43002E+02    0.70089E-07    0.19342E-03   -0.95734E-06
   169    0.49681E+04    0.93927E+00    0.00000E+00   -0.42566E+02    0.69707E-07    0.19179E-03   -0.94435E-06
   170    0.49958E+04    0.92832E+00    0.00000E+00   -0.42103E+02    0.69329E-07    0.19017E-03   -0.93124E-06
   171    0.50230E+04    0.91729E+00    0.00000E+00   -0.41611E+02    0.68954E-07    0.18857E-03   -0.91801E-06
   172    0.50498E+04    0.90611E+00    0.00000E+00   -0.41091E+02    0.68582E-07    0.18698E-03   -0.90464E-06
   173    0.50762E+04    0.89477E+00    0.00000E+00   -0.40545E+02    0.68213E-07    0.18542E-03   -0.89114E-06
   174    0.51022E+04    0.88357E+00    0.00000E+00   -0.39970E+02    0.67847E-07    0.18387E-03   -0.87751E-06
   175    0.51278E+04    0.87222E+00    0.00000E+00   -0.39367E+02    0.67484E-07    0.18233E-03   -0.86375E-06
   176    0.51529E+04    0.86094E+00    0.00000E+00   -0.38736E+02    0.67124E-07    0.18081E-03   -0.84984E-06
   177    0.51776E+04    0.84966E+00    0.00000E+00   -0.38079E+02    0.66767E-07    0.17931E-03   -0.83581E-06
   178    0.52018E+04    0.83860E+00    0.00000E+00   -0.37393E+02    0.66413E-07    0.17782E-03   -0.82165E-06
   179    0.52256E+04    0.82746E+00    0.00000E+00   -0.36678E+02    0.66061E-07    0.17635E-03   -0.80737E-06
   180    0.52490E+04    0.81646E+00    0.00000E+00   -0.35937E+02    0.65713E-07    0.17489E-03   -0.79297E-06
   181    0.52719E+04    0.80562E+00    0.00000E+00   -0.35169E+02    0.65368E-07    0.17345E-03   -0.77847E-06
   182    0.52943E+04    0.79499E+00    0.00000E+00   -0.34373E+02    0.65025E-07    0.17202E-03   -0.76386E-06
   183    0.53162E+04    0.78452E+00    0.00000E+00   -0.33550E+02    0.64686E-07    0.17060E-03   -0.74916E-06
   184    0.53377E+04    0.77426E+00    0.00000E+00   -0.32699E+02    0.64349E-07    0.16920E-03   -0.73436E-06
   185    0.53587E+04    0.76438E+00    0.00000E+00   -0.31824E+02    0.64014E-07    0.16781E-03   -0.71948E-06
   186    0.53788E+04    0.75473E+00    0.00000E+00   -0.30920E+02    0.63683E-07    0.16644E-03   -0.70452E-06
   187    0.53988E+04    0.74546E+00    0.00000E+00   -0.29989E+02    0.63354E-07    0.16508E-03   -0.68949E-06
   188    0.54183E+04    0.73654E+00    0.00000E+00   -0.29033E+02    0.63028E-07    0.16373E-03   -0.67438E-06
   189    0.54371E+04    0.72802E+00    0.00000E+00   -0.28050E+02    0.62705E-07    0.16240E-03   -0.65921E-06
   190    0.54558E+04    0.71995E+00    0.00000E+00   -0.27043E+02    0.62384E-07    0.16107E-03   -0.64399E-06
   191    0.54736E+04    0.71235E+00    0.00000E+00   -0.26009E+02    0.62066E-07    0.15976E-03   -0.62871E-06
   192    0.54909E+04    0.70525E+00    0.00000E+00   -0.24949E+02    0.61750E-07    0.15846E-03   -0.61339E-06
   193    0.55077E+04    0.69869E+00    0.00000E+00   -0.23866E+02    0.61437E-07    0.15718E-03   -0.59803E-06
   194    0.55241E+04    0.69270E+00    0.00000E+00   -0.22757E+02    0.61126E-07    0.15590E-03   -0.58263E-06
   195    0.55398E+04    0.68731E+00    0.00000E+00   -0.21624E+02    0.60818E-07    0.15464E-03   -0.56721E-06
   196    0.55550E+04    0.68258E+00    0.00000E+00   -0.20466E+02    0.60513E-07    0.15339E-03   -0.55176E-06
   197    0.55697E+04    0.67853E+00    0.00000E+00   -0.19286E+02    0.60209E-07    0.15215E-03   -0.53630E-06
   198    0.55838E+04    0.67520E+00    0.00000E+00   -0.18082E+02    0.59909E-07    0.15092E-03   -0.52082E-06
   199    0.55974E+04    0.67262E+00    0.00000E+00   -0.16855E+02    0.59610E-07    0.14970E-03   -0.50534E-06
   200    0.56105E+04    0.67082E+00    0.00000E+00   -0.15607E+02    0.59314E-07    0.14849E-03   -0.48986E-06
   201    0.56230E+04    0.66986E+00    0.00000E+00   -0.14335E+02    0.59021E-07    0.14729E-03   -0.47438E-06
   202    0.56350E+04    0.66975E+00    0.00000E+00   -0.13042E+02    0.58729E-07    0.14611E-03   -0.45891E-06
   203    0.56463E+04    0.67056E+00    0.00000E+00   -0.11726E+02    0.58440E-07    0.14493E-03   -0.44345E-06
   204    0.56570E+04    0.67229E+00    0.00000E+00   -0.10392E+02    0.58153E-07    0.14376E-03   -0.42799E-06
   205    0.56671E+04    0.67501E+00    0.00000E+00   -0.90364E+01    0.57869E-07    0.14260E-03   -0.41254E-06
   206    0.56765E+04    0.67874E+00    0.00000E+00   -0.76607E+01    0.57587E-07    0.14145E-03   -0.39711E-06
   207    0.56854E+04    0.68351E+00    0.00000E+00   -0.62654E+01    0.57306E-07    0.14032E-03   -0.38168E-06
   208    0.56936E+04    0.68937E+00    0.00000E+00   -0.48510E+01    0.57029E-07    0.13919E-03   -0.36626E-06
   209    0.57011E+04    0.69635E+00    0.00000E+00   -0.34179E+01    0.56753E-07    0.13807E-03   -0.35085E-06
   210    0.57081E+04    0.70450E+00    0.00000E+00   -0.19671E+01    0.56479E-07    0.13696E-03   -0.33545E-06
   211    0.57144E+04    0.71384E+00    0.00000E+00   -0.49852E+00    0.56208E-07    0.13586E-03   -0.32006E-06
   212    0.57200E+04    0.72442E+00    0.00000E+00    0.98678E+00    0.55939E-07    0.13476E-03   -0.30469E-06
   213    0.57250E+04    0.73626E+00    0.00000E+00    0.24889E+01    0.55671E-07    0.13368E-03   -0.28933E-06
   214    0.57294E+04    0.74938E+00    0.00000E+00    0.40065E+01    0.55406E-07    0.13261E-03   -0.27398E-06
   215    0.57331E+04    0.76395E+00    0.00000E+00    0.55390E+01    0.55143E-07    0.13154E-03   -0.25865E-06
   216    0.57362E+04    0.77981E+00    0.00000E+00    0.70868E+01    0.54882E-07    0.13049E-03   -0.24333E-06
   217    0.57388E+04    0.79709E+00    0.00000E+00    0.86479E+01    0.54623E-07    0.12944E-03   -0.22802E-06
   218    0.57406E+04    0.81581E+00    0.00000E+00    0.10223E+02    0.54366E-07    0.12840E-03   -0.21274E-06
   219    0.57419E+04    0.83596E+00    0.00000E+00    0.11812E+02    0.54111E-07    0.12737E-03   -0.19746E-06
   220    0.57425E+04    0.85770E+00    0.00000E+00    0.13411E+02    0.53858E-07    0.12635E-03   -0.18221E-06
   221    0.57425E+04    0.88095E+00    0.00000E+00    0.15022E+02    0.53607E-07    0.12533E-03   -0.16697E-06
   222    0.57420E+04    0.90585E+00    0.00000E+00    0.16644E+02    0.53358E-07    0.12433E-03   -0.15175E-06
   223    0.57406E+04    0.93234E+00    0.00000E+00    0.18278E+02    0.53111E-07    0.12333E-03   -0.13655E-06
   224    0.57388E+04    0.96042E+00    0.00000E+00    0.19919E+02    0.52865E-07    0.12234E-03   -0.12136E-06
   225    0.57364E+04    0.99024E+00    0.00000E+00    0.21571E+02    0.52622E-07    0.12136E-03   -0.10620E-06
   226    0.57333E+04    0.10218E+01    0.00000E+00    0.23229E+02    0.52380E-07    0.12039E-03   -0.91059E-07
   227    0.57295E+04    0.10551E+01    0.00000E+00    0.24897E+02    0.52141E-07    0.11942E-03   -0.75937E-07
   228    0.57252E+04    0.10901E+01    0.00000E+00    0.26571E+02    0.51903E-07    0.11847E-03   -0.60836E-07
   229    0.57203E+04    0.11269E+01    0.00000E+00    0.28251E+02    0.51666E-07    0.11752E-03   -0.45758E-07
   230    0.57147E+04    0.11656E+01    0.00000E+00    0.29936E+02    0.51432E-07    0.11657E-03   -0.30702E-07
