#    L    TT             EE             BB             TE          
   300    0.42202E+04    0.94710E+01    0.33478E-01    0.12267E+03
   301    0.41852E+04    0.96554E+01    0.33640E-01    0.12301E+03
   302    0.41503E+04    0.98405E+01    0.33804E-01    0.12332E+03
   303    0.41152E+04    0.10027E+02    0.33963E-01    0.12358E+03
   304    0.40801E+04    0.10215E+02    0.34125E-01    0.12379E+03
   305    0.40450E+04    0.10403E+02    0.34285E-01    0.12398E+03
   306    0.40098E+04    0.10592E+02    0.34444E-01    0.12412E+03
   307    0.39746E+04    0.10782E+02    0.34603E-01    0.12422E+03
   308    0.39395E+04    0.10974E+02    0.34759E-01    0.12429E+03
   309    0.39044E+04    0.11165E+02    0.34917E-01    0.12431E+03
   310    0.38692E+04    0.11356E+02    0.35075E-01    0.12430E+03
   311    0.38342E+04    0.11550E+02    0.35232E-01    0.12424E+03
   312    0.37992E+04    0.11742E+02    0.35389E-01    0.12415E+03
   313    0.37642E+04    0.11936E+02    0.35543E-01    0.12401E+03
   314    0.37293E+04    0.12130E+02    0.35695E-01    0.12384E+03
   315    0.36944E+04    0.12323E+02    0.35849E-01    0.12363E+03
   316    0.36597E+04    0.12517E+02    0.36003E-01    0.12337E+03
   317    0.36250E+04    0.12710E+02    0.36153E-01    0.12308E+03
   318    0.35904E+04    0.12905E+02    0.36305E-01    0.12275E+03
   319    0.35560E+04    0.13099E+02    0.36458E-01    0.12238E+03
   320    0.35217E+04    0.13293E+02    0.36609E-01    0.12198E+03
   321    0.34875E+04    0.13488E+02    0.36759E-01    0.12153E+03
   322    0.34535E+04    0.13681E+02    0.36907E-01    0.12104E+03
   323    0.34196E+04    0.13874E+02    0.37055E-01    0.12051E+03
   324    0.33858E+04    0.14068E+02    0.37201E-01    0.11994E+03
   325    0.33524E+04    0.14259E+02    0.37348E-01    0.11934E+03
   326    0.33189E+04    0.14451E+02    0.37493E-01    0.11869E+03
   327    0.32858E+04    0.14642E+02    0.37636E-01    0.11801E+03
   328    0.32528E+04    0.14832E+02    0.37779E-01    0.11730E+03
   329    0.32200E+04    0.15022E+02    0.37922E-01    0.11654E+03
   330    0.31875E+04    0.15210E+02    0.38066E-01    0.11574E+03
   331    0.31553E+04    0.15398E+02    0.38209E-01    0.11491E+03
   332    0.31232E+04    0.15585E+02    0.38349E-01    0.11405E+03
   333    0.30913E+04    0.15771E+02    0.38489E-01    0.11315E+03
   334    0.30598E+04    0.15956E+02    0.38627E-01    0.11221E+03
   335    0.30284E+04    0.16139E+02    0.38769E-01    0.11123E+03
   336    0.29974E+04    0.16321E+02    0.38908E-01    0.11023E+03
   337    0.29667E+04    0.16502E+02    0.39048E-01    0.10917E+03
   338    0.29362E+04    0.16680E+02    0.39186E-01    0.10810E+03
   339    0.29060E+04    0.16859E+02    0.39321E-01    0.10698E+03
   340    0.28762E+04    0.17035E+02    0.39459E-01    0.10584E+03
   341    0.28465E+04    0.17209E+02    0.39596E-01    0.10466E+03
   342    0.28173E+04    0.17383E+02    0.39734E-01    0.10344E+03
   343    0.27884E+04    0.17554E+02    0.39868E-01    0.10220E+03
   344    0.27598E+04    0.17723E+02    0.40005E-01    0.10092E+03
   345    0.27315E+04    0.17890E+02    0.40142E-01    0.99611E+02
   346    0.27036E+04    0.18056E+02    0.40277E-01    0.98280E+02
   347    0.26760E+04    0.18219E+02    0.40413E-01    0.96909E+02
   348    0.26488E+04    0.18380E+02    0.40546E-01    0.95508E+02
   349    0.26219E+04    0.18539E+02    0.40681E-01    0.94076E+02
   350    0.25954E+04    0.18695E+02    0.40816E-01    0.92621E+02
   351    0.25695E+04    0.18849E+02    0.40949E-01    0.91135E+02
   352    0.25437E+04    0.19001E+02    0.41085E-01    0.89617E+02
   353    0.25184E+04    0.19150E+02    0.41220E-01    0.88084E+02
   354    0.24934E+04    0.19297E+02    0.41352E-01    0.86513E+02
   355    0.24689E+04    0.19441E+02    0.41483E-01    0.84918E+02
   356    0.24447E+04    0.19583E+02    0.41616E-01    0.83307E+02
   357    0.24210E+04    0.19722E+02    0.41749E-01    0.81666E+02
