#    L    TT             EE             TE             PP             TP          
   286    0.45493E+04    0.67349E+01    0.11094E+03    0.18826E+07    0.12491E+04
   287    0.45174E+04    0.68944E+01    0.11178E+03    0.18753E+07    0.12384E+04
   288    0.44854E+04    0.70556E+01    0.11258E+03    0.18680E+07    0.12278E+04
   289    0.44531E+04    0.72185E+01    0.11335E+03    0.18608E+07    0.12172E+04
   290    0.44206E+04    0.73830E+01    0.11409E+03    0.18536E+07    0.12067E+04
   291    0.43880E+04    0.75496E+01    0.11479E+03    0.18464E+07    0.11963E+04
   292    0.43550E+04    0.77175E+01    0.11546E+03    0.18393E+07    0.11860E+04
   293    0.43221E+04    0.78861E+01    0.11608E+03    0.18323E+07    0.11757E+04
   294    0.42889E+04    0.80570E+01    0.11669E+03    0.18252E+07    0.11656E+04
   295    0.42558E+04    0.82287E+01    0.11724E+03    0.18183E+07    0.11554E+04
   296    0.42223E+04    0.84026E+01    0.11777E+03    0.18113E+07    0.11454E+04
   297    0.41888E+04    0.85766E+01    0.11827E+03    0.18044E+07    0.11354E+04
   298    0.41551E+04    0.87528E+01    0.11872E+03    0.17976E+07    0.11255E+04
   299    0.41213E+04    0.89306E+01    0.11913E+03    0.17908E+07    0.11156E+04
   300    0.40874E+04    0.91083E+01    0.11951E+03    0.17840E+07    0.11059E+04
   301    0.40534E+04    0.92877E+01    0.11985E+03    0.17773E+07    0.10962E+04
   302    0.40194E+04    0.94678E+01    0.12017E+03    0.17706E+07    0.10865E+04
   303    0.39853E+04    0.96494E+01    0.12043E+03    0.17639E+07    0.10769E+04
   304    0.39512E+04    0.98325E+01    0.12066E+03    0.17573E+07    0.10674E+04
   305    0.39170E+04    0.10016E+02    0.12085E+03    0.17507E+07    0.10580E+04
   306    0.38828E+04    0.10200E+02    0.12101E+03    0.17441E+07    0.10486E+04
   307    0.38486E+04    0.10384E+02    0.12111E+03    0.17376E+07    0.10393E+04
   308    0.38143E+04    0.10571E+02    0.12120E+03    0.17312E+07    0.10300E+04
   309    0.37802E+04    0.10757E+02    0.12123E+03    0.17247E+07    0.10209E+04
   310    0.37459E+04    0.10944E+02    0.12124E+03    0.17183E+07    0.10117E+04
   311    0.37118E+04    0.11132E+02    0.12119E+03    0.17120E+07    0.10027E+04
   312    0.36777E+04    0.11320E+02    0.12112E+03    0.17056E+07    0.99370E+03
   313    0.36436E+04    0.11509E+02    0.12100E+03    0.16993E+07    0.98477E+03
   314    0.36096E+04    0.11698E+02    0.12085E+03    0.16931E+07    0.97591E+03
   315    0.35756E+04    0.11887E+02    0.12066E+03    0.16869E+07    0.96711E+03
   316    0.35417E+04    0.12076E+02    0.12043E+03    0.16807E+07    0.95838E+03
   317    0.35079E+04    0.12264E+02    0.12016E+03    0.16745E+07    0.94971E+03
   318    0.34742E+04    0.12455E+02    0.11985E+03    0.16684E+07    0.94110E+03
   319    0.34406E+04    0.12644E+02    0.11950E+03    0.16623E+07    0.93255E+03
   320    0.34072E+04    0.12833E+02    0.11912E+03    0.16563E+07    0.92406E+03
   321    0.33738E+04    0.13024E+02    0.11870E+03    0.16502E+07    0.91564E+03
