#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   117    0.33661E+04   -0.35269E+02    0.27050E-05   -0.35269E+02    0.10268E+01   -0.12122E-07    0.27050E-05   -0.12122E-07    0.69256E-11
   118    0.34014E+04   -0.35885E+02    0.26541E-05   -0.35885E+02    0.10374E+01   -0.11986E-07    0.26541E-05   -0.11986E-07    0.67675E-11
   119    0.34367E+04   -0.36491E+02    0.26045E-05   -0.36491E+02    0.10476E+01   -0.11850E-07    0.26045E-05   -0.11850E-07    0.66139E-11
   120    0.34722E+04   -0.37086E+02    0.25561E-05   -0.37086E+02    0.10573E+01   -0.11715E-07    0.25561E-05   -0.11715E-07    0.64647E-11
   121    0.35077E+04   -0.37672E+02    0.25090E-05   -0.37672E+02    0.10667E+01   -0.11579E-07    0.25090E-05   -0.11579E-07    0.63198E-11
   122    0.35433E+04   -0.38246E+02    0.24630E-05   -0.38246E+02    0.10756E+01   -0.11444E-07    0.24630E-05   -0.11444E-07    0.61790E-11
   123    0.35789E+04   -0.38810E+02    0.24182E-05   -0.38810E+02    0.10840E+01   -0.11310E-07    0.24182E-05   -0.11310E-07    0.60423E-11
   124    0.36146E+04   -0.39360E+02    0.23746E-05   -0.39360E+02    0.10920E+01   -0.11176E-07    0.23746E-05   -0.11176E-07    0.59095E-11
   125    0.36504E+04   -0.39897E+02    0.23320E-05   -0.39897E+02    0.10995E+01   -0.11042E-07    0.23320E-05   -0.11042E-07    0.57804E-11
   126    0.36862E+04   -0.40422E+02    0.22904E-05   -0.40422E+02    0.11067E+01   -0.10908E-07    0.22904E-05   -0.10908E-07    0.56550E-11
   127    0.37220E+04   -0.40934E+02    0.22499E-05   -0.40934E+02    0.11133E+01   -0.10775E-07    0.22499E-05   -0.10775E-07    0.55331E-11
   128    0.37578E+04   -0.41431E+02    0.22104E-05   -0.41431E+02    0.11195E+01   -0.10642E-07    0.22104E-05   -0.10642E-07    0.54145E-11
   129    0.37937E+04   -0.41913E+02    0.21718E-05   -0.41913E+02    0.11252E+01   -0.10509E-07    0.21718E-05   -0.10509E-07    0.52992E-11
   130    0.38296E+04   -0.42379E+02    0.21341E-05   -0.42379E+02    0.11303E+01   -0.10377E-07    0.21341E-05   -0.10377E-07    0.51871E-11
   131    0.38655E+04   -0.42831E+02    0.20973E-05   -0.42831E+02    0.11350E+01   -0.10245E-07    0.20973E-05   -0.10245E-07    0.50779E-11
   132    0.39015E+04   -0.43266E+02    0.20613E-05   -0.43266E+02    0.11392E+01   -0.10113E-07    0.20613E-05   -0.10113E-07    0.49715E-11
   133    0.39374E+04   -0.43685E+02    0.20262E-05   -0.43685E+02    0.11429E+01   -0.99813E-08    0.20262E-05   -0.99813E-08    0.48680E-11
   134    0.39733E+04   -0.44084E+02    0.19919E-05   -0.44084E+02    0.11462E+01   -0.98500E-08    0.19919E-05   -0.98500E-08    0.47672E-11
   135    0.40092E+04   -0.44467E+02    0.19583E-05   -0.44467E+02    0.11489E+01   -0.97191E-08    0.19583E-05   -0.97191E-08    0.46690E-11
   136    0.40450E+04   -0.44829E+02    0.19255E-05   -0.44829E+02    0.11511E+01   -0.95886E-08    0.19255E-05   -0.95886E-08    0.45734E-11
   137    0.40807E+04   -0.45173E+02    0.18934E-05   -0.45173E+02    0.11528E+01   -0.94585E-08    0.18934E-05   -0.94585E-08    0.44803E-11
   138    0.41164E+04   -0.45498E+02    0.18621E-05   -0.45498E+02    0.11539E+01   -0.93289E-08    0.18621E-05   -0.93289E-08    0.43896E-11
   139    0.41519E+04   -0.45802E+02    0.18314E-05   -0.45802E+02    0.11546E+01   -0.91997E-08    0.18314E-05   -0.91997E-08    0.43013E-11
   140    0.41875E+04   -0.46086E+02    0.18015E-05   -0.46086E+02    0.11548E+01   -0.90710E-08    0.18015E-05   -0.90710E-08    0.42153E-11
   141    0.42228E+04   -0.46349E+02    0.17722E-05   -0.46349E+02    0.11543E+01   -0.89428E-08    0.17722E-05   -0.89428E-08    0.41316E-11
   142    0.42582E+04   -0.46591E+02    0.17435E-05   -0.46591E+02    0.11534E+01   -0.88152E-08    0.17435E-05   -0.88152E-08    0.40499E-11
   143    0.42935E+04   -0.46811E+02    0.17155E-05   -0.46811E+02    0.11521E+01   -0.86882E-08    0.17155E-05   -0.86882E-08    0.39704E-11
   144    0.43286E+04   -0.47010E+02    0.16881E-05   -0.47010E+02    0.11502E+01   -0.85619E-08    0.16881E-05   -0.85619E-08    0.38929E-11
   145    0.43635E+04   -0.47187E+02    0.16612E-05   -0.47187E+02    0.11479E+01   -0.84361E-08    0.16612E-05   -0.84361E-08    0.38173E-11
   146    0.43985E+04   -0.47340E+02    0.16350E-05   -0.47340E+02    0.11449E+01   -0.83110E-08    0.16350E-05   -0.83110E-08    0.37436E-11
   147    0.44332E+04   -0.47470E+02    0.16093E-05   -0.47470E+02    0.11416E+01   -0.81867E-08    0.16093E-05   -0.81867E-08    0.36718E-11
   148    0.44678E+04   -0.47578E+02    0.15841E-05   -0.47578E+02    0.11377E+01   -0.80630E-08    0.15841E-05   -0.80630E-08    0.36016E-11
   149    0.45023E+04   -0.47662E+02    0.15594E-05   -0.47662E+02    0.11333E+01   -0.79401E-08    0.15594E-05   -0.79401E-08    0.35331E-11
   150    0.45365E+04   -0.47719E+02    0.15352E-05   -0.47719E+02    0.11286E+01   -0.78180E-08    0.15352E-05   -0.78180E-08    0.34663E-11
   151    0.45705E+04   -0.47753E+02    0.15115E-05   -0.47753E+02    0.11233E+01   -0.76966E-08    0.15115E-05   -0.76966E-08    0.34010E-11
   152    0.46043E+04   -0.47762E+02    0.14882E-05   -0.47762E+02    0.11176E+01   -0.75759E-08    0.14882E-05   -0.75759E-08    0.33373E-11
   153    0.46379E+04   -0.47745E+02    0.14655E-05   -0.47745E+02    0.11114E+01   -0.74558E-08    0.14655E-05   -0.74558E-08    0.32752E-11
   154    0.46713E+04   -0.47702E+02    0.14432E-05   -0.47702E+02    0.11048E+01   -0.73365E-08    0.14432E-05   -0.73365E-08    0.32145E-11
   155    0.47045E+04   -0.47634E+02    0.14213E-05   -0.47634E+02    0.10978E+01   -0.72178E-08    0.14213E-05   -0.72178E-08    0.31552E-11
   156    0.47373E+04   -0.47539E+02    0.13999E-05   -0.47539E+02    0.10905E+01   -0.70997E-08    0.13999E-05   -0.70997E-08    0.30974E-11
   157    0.47700E+04   -0.47418E+02    0.13789E-05   -0.47418E+02    0.10827E+01   -0.69823E-08    0.13789E-05   -0.69823E-08    0.30409E-11
   158    0.48023E+04   -0.47270E+02    0.13583E-05   -0.47270E+02    0.10747E+01   -0.68655E-08    0.13583E-05   -0.68655E-08    0.29857E-11
   159    0.48344E+04   -0.47095E+02    0.13381E-05   -0.47095E+02    0.10661E+01   -0.67492E-08    0.13381E-05   -0.67492E-08    0.29318E-11
   160    0.48662E+04   -0.46892E+02    0.13183E-05   -0.46892E+02    0.10573E+01   -0.66335E-08    0.13183E-05   -0.66335E-08    0.28792E-11
   161    0.48978E+04   -0.46663E+02    0.12988E-05   -0.46663E+02    0.10482E+01   -0.65184E-08    0.12988E-05   -0.65184E-08    0.28278E-11
   162    0.49291E+04   -0.46406E+02    0.12798E-05   -0.46406E+02    0.10388E+01   -0.64038E-08    0.12798E-05   -0.64038E-08    0.27776E-11
   163    0.49601E+04   -0.46122E+02    0.12611E-05   -0.46122E+02    0.10290E+01   -0.62897E-08    0.12611E-05   -0.62897E-08    0.27286E-11
   164    0.49907E+04   -0.45810E+02    0.12427E-05   -0.45810E+02    0.10190E+01   -0.61762E-08    0.12427E-05   -0.61762E-08    0.26806E-11
   165    0.50211E+04   -0.45469E+02    0.12247E-05   -0.45469E+02    0.10087E+01   -0.60631E-08    0.12247E-05   -0.60631E-08    0.26337E-11
   166    0.50512E+04   -0.45101E+02    0.12070E-05   -0.45101E+02    0.99818E+00   -0.59504E-08    0.12070E-05   -0.59504E-08    0.25878E-11
   167    0.50810E+04   -0.44705E+02    0.11897E-05   -0.44705E+02    0.98732E+00   -0.58383E-08    0.11897E-05   -0.58383E-08    0.25430E-11
   168    0.51103E+04   -0.44280E+02    0.11726E-05   -0.44280E+02    0.97645E+00   -0.57266E-08    0.11726E-05   -0.57266E-08    0.24991E-11
   169    0.51393E+04   -0.43826E+02    0.11559E-05   -0.43826E+02    0.96528E+00   -0.56155E-08    0.11559E-05   -0.56155E-08    0.24562E-11
   170    0.51679E+04   -0.43345E+02    0.11395E-05   -0.43345E+02    0.95404E+00   -0.55048E-08    0.11395E-05   -0.55048E-08    0.24142E-11
   171    0.51960E+04   -0.42833E+02    0.11233E-05   -0.42833E+02    0.94271E+00   -0.53947E-08    0.11233E-05   -0.53947E-08    0.23732E-11
   172    0.52238E+04   -0.42293E+02    0.11075E-05   -0.42293E+02    0.93123E+00   -0.52852E-08    0.11075E-05   -0.52852E-08    0.23330E-11
   173    0.52510E+04   -0.41725E+02    0.10919E-05   -0.41725E+02    0.91960E+00   -0.51762E-08    0.10919E-05   -0.51762E-08    0.22937E-11
   174    0.52779E+04   -0.41128E+02    0.10766E-05   -0.41128E+02    0.90811E+00   -0.50678E-08    0.10766E-05   -0.50678E-08    0.22553E-11
   175    0.53044E+04   -0.40501E+02    0.10616E-05   -0.40501E+02    0.89648E+00   -0.49600E-08    0.10616E-05   -0.49600E-08    0.22177E-11
   176    0.53304E+04   -0.39846E+02    0.10469E-05   -0.39846E+02    0.88492E+00   -0.48528E-08    0.10469E-05   -0.48528E-08    0.21809E-11
   177    0.53559E+04   -0.39163E+02    0.10324E-05   -0.39163E+02    0.87337E+00   -0.47462E-08    0.10324E-05   -0.47462E-08    0.21449E-11
